ACCOUNT STATEMENT
Bank Name:,State Bank of India
Account Holder:,Deepa Krishnan
PAN:,JKMDK2345J
Account Number:,XXXXX106789
IFSC Code:,SBIN0001045
Branch:,Kolkata
Statement Period:,01-Apr-2025 to 31-Mar-2026

Date,Description,Debit (Rs.),Credit (Rs.),Balance (Rs.),Category,Tag
01-Dec-2025,NEFT - RENT PAYMENT - DEC 2025,14000,,77436,RENT,HRA_RENT
01-Jun-2025,NEFT - RENT PAYMENT - JUN 2025,14000,,63436,RENT,HRA_RENT
01-Mar-2026,NEFT - RENT PAYMENT - MAR 2026,14000,,49436,RENT,HRA_RENT
01-Mar-2026,SIP DEBIT - AXIS ELSS FUND - MAR-2026,4166,,45270,INVESTMENT,80C_ELSS
01-Mar-2026,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,45070,EXPENSE,
02-Apr-2025,NEFT - RENT PAYMENT - APR 2025,14000,,31070,RENT,HRA_RENT
02-Jul-2025,SIP DEBIT - AXIS ELSS FUND - JUL-2025,4166,,26904,INVESTMENT,80C_ELSS
02-Jun-2025,SIP DEBIT - AXIS ELSS FUND - JUN-2025,4166,,22738,INVESTMENT,80C_ELSS
02-Oct-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,1004,,21734,EXPENSE,
03-Jan-2026,NEFT - RENT PAYMENT - JAN 2026,14000,,7734,RENT,HRA_RENT
03-Mar-2026,ATM CASH WITHDRAWAL,1441,,6293,EXPENSE,
03-Oct-2025,NEFT - RENT PAYMENT - OCT 2025,14000,,-7707,RENT,HRA_RENT
03-Sep-2025,NEFT - RENT PAYMENT - SEP 2025,14000,,-21707,RENT,HRA_RENT
04-Aug-2025,NEFT - RENT PAYMENT - AUG 2025,14000,,-35707,RENT,HRA_RENT
04-Jul-2025,NEFT - RENT PAYMENT - JUL 2025,14000,,-49707,RENT,HRA_RENT
04-Mar-2026,ELECTRICITY BILL PAYMENT - MSEB,769,,-50476,EXPENSE,
04-May-2025,NEFT - RENT PAYMENT - MAY 2025,14000,,-64476,RENT,HRA_RENT
04-Sep-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,1075,,-65551,EXPENSE,
05-Feb-2026,NEFT - RENT PAYMENT - FEB 2026,14000,,-79551,RENT,HRA_RENT
05-Jul-2025,GROCERY - BIGBASKET / DMART,2522,,-82073,EXPENSE,
05-May-2025,SIP DEBIT - AXIS ELSS FUND - MAY-2025,4166,,-86239,INVESTMENT,80C_ELSS
05-Nov-2025,NEFT - RENT PAYMENT - NOV 2025,14000,,-100239,RENT,HRA_RENT
05-Oct-2025,GROCERY - BIGBASKET / DMART,2446,,-102685,EXPENSE,
06-Apr-2025,PPF DEPOSIT - SBI PPF ACCOUNT,50000,,-152685,INVESTMENT,80C_PPF
06-Apr-2025,SIP DEBIT - AXIS ELSS FUND - APR-2025,4166,,-156851,INVESTMENT,80C_ELSS
06-Dec-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,-157051,EXPENSE,
06-Oct-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,-157251,EXPENSE,
07-Aug-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,-157451,EXPENSE,
07-Nov-2025,SIP DEBIT - AXIS ELSS FUND - NOV-2025,4166,,-161617,INVESTMENT,80C_ELSS
08-Apr-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,683,,-162300,EXPENSE,
08-Dec-2025,SIP DEBIT - AXIS ELSS FUND - DEC-2025,4166,,-166466,INVESTMENT,80C_ELSS
08-Feb-2026,GROCERY - BIGBASKET / DMART,1856,,-168322,EXPENSE,
08-Nov-2025,ATM CASH WITHDRAWAL,2081,,-170403,EXPENSE,
09-Feb-2026,SIP DEBIT - AXIS ELSS FUND - FEB-2026,4166,,-174569,INVESTMENT,80C_ELSS
09-Oct-2025,SIP DEBIT - AXIS ELSS FUND - OCT-2025,4166,,-178735,INVESTMENT,80C_ELSS
10-Aug-2025,SIP DEBIT - AXIS ELSS FUND - AUG-2025,4166,,-182901,INVESTMENT,80C_ELSS
10-Aug-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,593,,-183494,EXPENSE,
10-Jan-2026,SIP DEBIT - AXIS ELSS FUND - JAN-2026,4166,,-187660,INVESTMENT,80C_ELSS
10-Jul-2025,ELECTRICITY BILL PAYMENT - MSEB,1118,,-188778,EXPENSE,
10-Jun-2025,FUEL - HPCL PETROL PUMP,979,,-189757,EXPENSE,
10-Nov-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,894,,-190651,EXPENSE,
10-Sep-2025,SIP DEBIT - AXIS ELSS FUND - SEP-2025,4166,,-194817,INVESTMENT,80C_ELSS
10-Sep-2025,AMAZON SHOPPING,764,,-195581,EXPENSE,
11-May-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,951,,-196532,EXPENSE,
12-Aug-2025,ATM CASH WITHDRAWAL,1660,,-198192,EXPENSE,
12-Feb-2026,AMAZON SHOPPING,1536,,-199728,EXPENSE,
14-Feb-2026,ELECTRICITY BILL PAYMENT - MSEB,669,,-200397,EXPENSE,
14-Feb-2026,ATM CASH WITHDRAWAL,2252,,-202649,EXPENSE,
14-May-2025,MOBILE RECHARGE - AIRTEL,208,,-202857,EXPENSE,
15-Apr-2025,MOBILE RECHARGE - AIRTEL,286,,-203143,EXPENSE,
15-Dec-2025,MOBILE RECHARGE - AIRTEL,289,,-203432,EXPENSE,
15-May-2025,HEALTH INSURANCE PREMIUM - STAR HEALTH - SELF/FAMILY,12000,,-215432,INSURANCE,80D_SELF
16-Jan-2026,ELECTRICITY BILL PAYMENT - MSEB,613,,-216045,EXPENSE,
17-Dec-2025,FUEL - HPCL PETROL PUMP,806,,-216851,EXPENSE,
17-Feb-2026,UPI - ZOMATO / SWIGGY FOOD ORDER,845,,-217696,EXPENSE,
18-Jan-2026,ATM CASH WITHDRAWAL,2186,,-219882,EXPENSE,
18-Jul-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,632,,-220514,EXPENSE,
18-Sep-2025,ATM CASH WITHDRAWAL,1758,,-222272,EXPENSE,
19-May-2025,LIC PREMIUM PAYMENT - POLICY AUTO DEBIT,50000,,-272272,INVESTMENT,80C_LIC
20-Nov-2025,FUEL - HPCL PETROL PUMP,1148,,-273420,EXPENSE,
20-Oct-2025,ELECTRICITY BILL PAYMENT - MSEB,987,,-274407,EXPENSE,
21-Apr-2025,AMAZON SHOPPING,681,,-275088,EXPENSE,
22-Aug-2025,FUEL - HPCL PETROL PUMP,637,,-275725,EXPENSE,
22-May-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,-275925,EXPENSE,
23-Apr-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,-276125,EXPENSE,
23-Jan-2026,AMAZON SHOPPING,1673,,-277798,EXPENSE,
23-Jul-2025,AMAZON SHOPPING,1712,,-279510,EXPENSE,
24-Nov-2025,AMAZON SHOPPING,915,,-280425,EXPENSE,
25-Dec-2025,ELECTRICITY BILL PAYMENT - MSEB,1032,,-281457,EXPENSE,
26-May-2025,FUEL - HPCL PETROL PUMP,932,,-282389,EXPENSE,
27-Oct-2025,FUEL - HPCL PETROL PUMP,677,,-283066,EXPENSE,
28-Apr-2025,SALARY CREDIT - ITC LIMITED - APR 2025,,58333,-224733,SALARY,
