ACCOUNT STATEMENT
Bank Name:,State Bank of India
Account Holder:,Amit Sharma
PAN:,ABCPS1234A
Account Number:,XXXXX16789
IFSC Code:,SBIN000145
Branch:,Pune
Statement Period:,01-Apr-2025 to 31-Mar-2026

Date,Description,Debit (Rs.),Credit (Rs.),Balance (Rs.),Category,Tag
01-Jun-2025,ATM CASH WITHDRAWAL,1809,,132001,EXPENSE,
01-May-2025,GROCERY - BIGBASKET / DMART,2005,,129996,EXPENSE,
04-Mar-2026,FUEL - HPCL PETROL PUMP,820,,129176,EXPENSE,
05-Apr-2025,GROCERY - BIGBASKET / DMART,1744,,127432,EXPENSE,
05-Dec-2025,AMAZON SHOPPING,1142,,126290,EXPENSE,
05-Jan-2026,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,126090,EXPENSE,
06-Jun-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,879,,125211,EXPENSE,
06-Mar-2026,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,125011,EXPENSE,
06-Oct-2025,ATM CASH WITHDRAWAL,1729,,123282,EXPENSE,
07-Jun-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,123082,EXPENSE,
08-May-2025,ATM CASH WITHDRAWAL,1093,,121989,EXPENSE,
10-Aug-2025,ELECTRICITY BILL PAYMENT - MSEB,613,,121376,EXPENSE,
11-Dec-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,121176,EXPENSE,
11-Jun-2025,MOBILE RECHARGE - AIRTEL,219,,120957,EXPENSE,
11-Jun-2025,ELECTRICITY BILL PAYMENT - MSEB,978,,119979,EXPENSE,
11-Nov-2025,ATM CASH WITHDRAWAL,1219,,118760,EXPENSE,
11-Nov-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,118560,EXPENSE,
12-Aug-2025,MOBILE RECHARGE - AIRTEL,238,,118322,EXPENSE,
12-Jan-2026,FUEL - HPCL PETROL PUMP,791,,117531,EXPENSE,
12-Jul-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,679,,116852,EXPENSE,
12-Sep-2025,ATM CASH WITHDRAWAL,1635,,115217,EXPENSE,
12-Sep-2025,GROCERY - BIGBASKET / DMART,1662,,113555,EXPENSE,
13-Feb-2026,ATM CASH WITHDRAWAL,1063,,112492,EXPENSE,
15-Feb-2026,FUEL - HPCL PETROL PUMP,797,,111695,EXPENSE,
15-Jul-2025,GROCERY - BIGBASKET / DMART,1543,,110152,EXPENSE,
15-Sep-2025,MOBILE RECHARGE - AIRTEL,200,,109952,EXPENSE,
16-Dec-2025,GROCERY - BIGBASKET / DMART,1712,,108240,EXPENSE,
18-Apr-2025,ELECTRICITY BILL PAYMENT - MSEB,870,,107370,EXPENSE,
18-Feb-2026,UPI - ZOMATO / SWIGGY FOOD ORDER,764,,106606,EXPENSE,
18-Oct-2025,FUEL - HPCL PETROL PUMP,817,,105789,EXPENSE,
20-Aug-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,914,,104875,EXPENSE,
20-Feb-2026,GROCERY - BIGBASKET / DMART,2180,,102695,EXPENSE,
20-Oct-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,102495,EXPENSE,
22-Apr-2025,FUEL - HPCL PETROL PUMP,868,,101627,EXPENSE,
22-Aug-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,101427,EXPENSE,
23-Aug-2025,GROCERY - BIGBASKET / DMART,2077,,99350,EXPENSE,
23-May-2025,AMAZON SHOPPING,1061,,98289,EXPENSE,
24-Jan-2026,ELECTRICITY BILL PAYMENT - MSEB,769,,97520,EXPENSE,
25-Mar-2026,UPI - ZOMATO / SWIGGY FOOD ORDER,875,,96645,EXPENSE,
25-Nov-2025,ELECTRICITY BILL PAYMENT - MSEB,921,,95724,EXPENSE,
26-Feb-2026,AMAZON SHOPPING,1127,,94597,EXPENSE,
26-Jul-2025,MOBILE RECHARGE - AIRTEL,210,,94387,EXPENSE,
27-Nov-2025,FUEL - HPCL PETROL PUMP,527,,93860,EXPENSE,
28-Apr-2025,SALARY CREDIT - INFOSYS LIMITED - APR 2025,,50000,143860,SALARY,
28-Aug-2025,SALARY CREDIT - INFOSYS LIMITED - AUG 2025,,50000,193860,SALARY,
28-Dec-2025,SALARY CREDIT - INFOSYS LIMITED - DEC 2025,,50000,243860,SALARY,
28-Feb-2026,SALARY CREDIT - INFOSYS LIMITED - FEB 2026,,50000,293860,SALARY,
28-Jan-2026,SALARY CREDIT - INFOSYS LIMITED - JAN 2026,,50000,343860,SALARY,
28-Jul-2025,SALARY CREDIT - INFOSYS LIMITED - JUL 2025,,50000,393860,SALARY,
28-Jun-2025,SALARY CREDIT - INFOSYS LIMITED - JUN 2025,,50000,443860,SALARY,
28-Mar-2026,SALARY CREDIT - INFOSYS LIMITED - MAR 2026,,50000,493860,SALARY,
28-May-2025,SALARY CREDIT - INFOSYS LIMITED - MAY 2025,,50000,543860,SALARY,
28-Nov-2025,SALARY CREDIT - INFOSYS LIMITED - NOV 2025,,50000,593860,SALARY,
28-Oct-2025,SALARY CREDIT - INFOSYS LIMITED - OCT 2025,,50000,643860,SALARY,
28-Sep-2025,SALARY CREDIT - INFOSYS LIMITED - SEP 2025,,50000,693860,SALARY,
29-Jan-2026,UPI - ZOMATO / SWIGGY FOOD ORDER,792,,693068,EXPENSE,
30-Dec-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,697,,692371,EXPENSE,
