ACCOUNT STATEMENT
Bank Name:,State Bank of India
Account Holder:,Priya Nair
PAN:,BCDPN5678B
Account Number:,XXXXX26789
IFSC Code:,SBIN000245
Branch:,Bangalore
Statement Period:,01-Apr-2025 to 31-Mar-2026

Date,Description,Debit (Rs.),Credit (Rs.),Balance (Rs.),Category,Tag
01-Jan-2026,ATM CASH WITHDRAWAL,1649,,107821,EXPENSE,
02-Dec-2025,ATM CASH WITHDRAWAL,2196,,105625,EXPENSE,
02-Jan-2026,MOBILE RECHARGE - AIRTEL,269,,105356,EXPENSE,
02-Mar-2026,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,105156,EXPENSE,
03-Apr-2025,HEALTH INSURANCE PREMIUM - STAR HEALTH - SELF/FAMILY,12000,,93156,INSURANCE,80D_SELF
03-Aug-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,750,,92406,EXPENSE,
03-Dec-2025,AMAZON SHOPPING,1892,,90514,EXPENSE,
04-Nov-2025,FUEL - HPCL PETROL PUMP,1275,,89239,EXPENSE,
04-Oct-2025,AMAZON SHOPPING,978,,88261,EXPENSE,
05-May-2025,GROCERY - BIGBASKET / DMART,2879,,85382,EXPENSE,
05-Nov-2025,AMAZON SHOPPING,1468,,83914,EXPENSE,
05-Sep-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,83714,EXPENSE,
07-Jun-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,83514,EXPENSE,
07-Nov-2025,ATM CASH WITHDRAWAL,1768,,81746,EXPENSE,
08-Apr-2025,GROCERY - BIGBASKET / DMART,3267,,78479,EXPENSE,
08-Jul-2025,FUEL - HPCL PETROL PUMP,1028,,77451,EXPENSE,
08-Jul-2025,ATM CASH WITHDRAWAL,1742,,75709,EXPENSE,
09-Nov-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,75509,EXPENSE,
10-Feb-2026,ELECTRICITY BILL PAYMENT - MSEB,817,,74692,EXPENSE,
11-Jul-2025,ELECTRICITY BILL PAYMENT - MSEB,867,,73825,EXPENSE,
11-Nov-2025,GROCERY - BIGBASKET / DMART,2695,,71130,EXPENSE,
12-Oct-2025,ATM CASH WITHDRAWAL,2350,,68780,EXPENSE,
13-Apr-2025,LIC PREMIUM PAYMENT - POLICY AUTO DEBIT,30000,,38780,INVESTMENT,80C_LIC
14-Apr-2025,PPF DEPOSIT - SBI PPF ACCOUNT,25000,,13780,INVESTMENT,80C_PPF
15-Oct-2025,MOBILE RECHARGE - AIRTEL,272,,13508,EXPENSE,
16-Apr-2025,ELECTRICITY BILL PAYMENT - MSEB,1132,,12376,EXPENSE,
16-Feb-2026,MOBILE RECHARGE - AIRTEL,306,,12070,EXPENSE,
16-May-2025,MOBILE RECHARGE - AIRTEL,224,,11846,EXPENSE,
