ACCOUNT STATEMENT
Bank Name:,State Bank of India
Account Holder:,Rahul Mehta
PAN:,CDERÐœ9012C
Account Number:,XXXXX36789
IFSC Code:,SBIN000345
Branch:,Mumbai
Statement Period:,01-Apr-2025 to 31-Mar-2026

Date,Description,Debit (Rs.),Credit (Rs.),Balance (Rs.),Category,Tag
01-Apr-2025,HEALTH INSURANCE PREMIUM - STAR HEALTH - SELF/FAMILY,18000,,101615,INSURANCE,80D_SELF
01-Feb-2026,NEFT - RENT PAYMENT - FEB 2026,22000,,79615,RENT,HRA_RENT
01-Jul-2025,NEFT - RENT PAYMENT - JUL 2025,22000,,57615,RENT,HRA_RENT
01-May-2025,NEFT - RENT PAYMENT - MAY 2025,22000,,35615,RENT,HRA_RENT
01-Nov-2025,NEFT - RENT PAYMENT - NOV 2025,22000,,13615,RENT,HRA_RENT
01-Sep-2025,NEFT - RENT PAYMENT - SEP 2025,22000,,-8385,RENT,HRA_RENT
02-Apr-2025,NEFT - RENT PAYMENT - APR 2025,22000,,-30385,RENT,HRA_RENT
02-Aug-2025,NEFT - RENT PAYMENT - AUG 2025,22000,,-52385,RENT,HRA_RENT
02-Aug-2025,AMAZON SHOPPING,1549,,-53934,EXPENSE,
02-Dec-2025,NEFT - RENT PAYMENT - DEC 2025,22000,,-75934,RENT,HRA_RENT
02-Jan-2026,ELECTRICITY BILL PAYMENT - MSEB,1652,,-77586,EXPENSE,
02-Jul-2025,AMAZON SHOPPING,2215,,-79801,EXPENSE,
03-Dec-2025,SIP DEBIT - AXIS ELSS FUND - DEC-2025,4166,,-83967,INVESTMENT,80C_ELSS
03-Dec-2025,GROCERY - BIGBASKET / DMART,2964,,-86931,EXPENSE,
04-Jan-2026,NEFT - RENT PAYMENT - JAN 2026,22000,,-108931,RENT,HRA_RENT
04-Jan-2026,ATM CASH WITHDRAWAL,3232,,-112163,EXPENSE,
04-Jul-2025,SIP DEBIT - AXIS ELSS FUND - JUL-2025,4166,,-116329,INVESTMENT,80C_ELSS
04-Sep-2025,SIP DEBIT - AXIS ELSS FUND - SEP-2025,4166,,-120495,INVESTMENT,80C_ELSS
05-Apr-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,1254,,-121749,EXPENSE,
05-Aug-2025,FUEL - HPCL PETROL PUMP,1318,,-123067,EXPENSE,
05-Jan-2026,SIP DEBIT - AXIS ELSS FUND - JAN-2026,4166,,-127233,INVESTMENT,80C_ELSS
05-Jun-2025,NEFT - RENT PAYMENT - JUN 2025,22000,,-149233,RENT,HRA_RENT
05-Jun-2025,SIP DEBIT - AXIS ELSS FUND - JUN-2025,4166,,-153399,INVESTMENT,80C_ELSS
05-Mar-2026,NEFT - RENT PAYMENT - MAR 2026,22000,,-175399,RENT,HRA_RENT
05-Oct-2025,NEFT - RENT PAYMENT - OCT 2025,22000,,-197399,RENT,HRA_RENT
05-Oct-2025,SIP DEBIT - AXIS ELSS FUND - OCT-2025,4166,,-201565,INVESTMENT,80C_ELSS
06-Apr-2025,LIC PREMIUM PAYMENT - POLICY AUTO DEBIT,50000,,-251565,INVESTMENT,80C_LIC
06-Apr-2025,AMAZON SHOPPING,1449,,-253014,EXPENSE,
06-Aug-2025,SIP DEBIT - AXIS ELSS FUND - AUG-2025,4166,,-257180,INVESTMENT,80C_ELSS
06-Mar-2026,SIP DEBIT - AXIS ELSS FUND - MAR-2026,4174,,-261354,INVESTMENT,80C_ELSS
06-May-2025,SIP DEBIT - AXIS ELSS FUND - MAY-2025,4166,,-265520,INVESTMENT,80C_ELSS
07-Nov-2025,SIP DEBIT - AXIS ELSS FUND - NOV-2025,4166,,-269686,INVESTMENT,80C_ELSS
08-Apr-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,-269886,EXPENSE,
08-Feb-2026,SIP DEBIT - AXIS ELSS FUND - FEB-2026,4166,,-274052,INVESTMENT,80C_ELSS
08-Nov-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,1548,,-275600,EXPENSE,
08-Sep-2025,FUEL - HPCL PETROL PUMP,1008,,-276608,EXPENSE,
09-Apr-2025,SIP DEBIT - AXIS ELSS FUND - APR-2025,4166,,-280774,INVESTMENT,80C_ELSS
09-Dec-2025,FUEL - HPCL PETROL PUMP,1639,,-282413,EXPENSE,
09-Jan-2026,FUEL - HPCL PETROL PUMP,1564,,-283977,EXPENSE,
09-Jul-2025,ELECTRICITY BILL PAYMENT - MSEB,942,,-284919,EXPENSE,
09-May-2025,ATM CASH WITHDRAWAL,3130,,-288049,EXPENSE,
09-Oct-2025,MOBILE RECHARGE - AIRTEL,385,,-288434,EXPENSE,
10-Jun-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,962,,-289396,EXPENSE,
10-Nov-2025,GROCERY - BIGBASKET / DMART,3267,,-292663,EXPENSE,
11-Dec-2025,MOBILE RECHARGE - AIRTEL,282,,-292945,EXPENSE,
12-Aug-2025,GROCERY - BIGBASKET / DMART,2560,,-295505,EXPENSE,
12-Sep-2025,ATM CASH WITHDRAWAL,2778,,-298283,EXPENSE,
14-Feb-2026,ATM CASH WITHDRAWAL,2977,,-301260,EXPENSE,
14-Jul-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,-301460,EXPENSE,
15-Jul-2025,GROCERY - BIGBASKET / DMART,2769,,-304229,EXPENSE,
17-Feb-2026,ELECTRICITY BILL PAYMENT - MSEB,1338,,-305567,EXPENSE,
17-Mar-2026,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,-305767,EXPENSE,
18-Aug-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,-305967,EXPENSE,
18-Mar-2026,GROCERY - BIGBASKET / DMART,4042,,-310009,EXPENSE,
19-Feb-2026,FUEL - HPCL PETROL PUMP,929,,-310938,EXPENSE,
20-Sep-2025,ELECTRICITY BILL PAYMENT - MSEB,1562,,-312500,EXPENSE,
22-Jun-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,-312700,EXPENSE,
23-Aug-2025,ATM CASH WITHDRAWAL,3241,,-315941,EXPENSE,
23-Jan-2026,PPF DEPOSIT - SBI PPF ACCOUNT,25000,,-340941,INVESTMENT,80C_PPF
23-Jun-2025,FUEL - HPCL PETROL PUMP,1337,,-342278,EXPENSE,
23-Oct-2025,PPF DEPOSIT - SBI PPF ACCOUNT,25000,,-367278,INVESTMENT,80C_PPF
24-Oct-2025,ELECTRICITY BILL PAYMENT - MSEB,853,,-368131,EXPENSE,
24-Oct-2025,FUEL - HPCL PETROL PUMP,1391,,-369522,EXPENSE,
25-Jul-2025,MOBILE RECHARGE - AIRTEL,250,,-369772,EXPENSE,
26-Oct-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,1603,,-371375,EXPENSE,
26-Oct-2025,ATM CASH WITHDRAWAL,3218,,-374593,EXPENSE,
27-May-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,-374793,EXPENSE,
28-Apr-2025,SALARY CREDIT - HDFC BANK LIMITED - APR 2025,,83333,-291460,SALARY,
28-Aug-2025,SALARY CREDIT - HDFC BANK LIMITED - AUG 2025,,83333,-208127,SALARY,
28-Dec-2025,SALARY CREDIT - HDFC BANK LIMITED - DEC 2025,,83333,-124794,SALARY,
28-Feb-2026,SALARY CREDIT - HDFC BANK LIMITED - FEB 2026,,83333,-41461,SALARY,
28-Jan-2026,SALARY CREDIT - HDFC BANK LIMITED - JAN 2026,,83333,41872,SALARY,
28-Jul-2025,SALARY CREDIT - HDFC BANK LIMITED - JUL 2025,,83333,125205,SALARY,
28-Jun-2025,SALARY CREDIT - HDFC BANK LIMITED - JUN 2025,,83333,208538,SALARY,
