ACCOUNT STATEMENT
Bank Name:,State Bank of India
Account Holder:,Sneha Iyer
PAN:,DEFSI3456D
Account Number:,XXXXX46789
IFSC Code:,SBIN000445
Branch:,Delhi
Statement Period:,01-Apr-2025 to 31-Mar-2026

Date,Description,Debit (Rs.),Credit (Rs.),Balance (Rs.),Category,Tag
01-Jan-2026,SIP DEBIT - AXIS ELSS FUND - JAN-2026,4166,,143082,INVESTMENT,80C_ELSS
01-Jul-2025,NEFT - RENT PAYMENT - JUL 2025,28000,,115082,RENT,HRA_RENT
01-Nov-2025,NEFT - RENT PAYMENT - NOV 2025,28000,,87082,RENT,HRA_RENT
02-Apr-2025,NEFT - RENT PAYMENT - APR 2025,28000,,59082,RENT,HRA_RENT
02-May-2025,ATM CASH WITHDRAWAL,2294,,56788,EXPENSE,
03-Aug-2025,NEFT - RENT PAYMENT - AUG 2025,28000,,28788,RENT,HRA_RENT
03-Dec-2025,NEFT - RENT PAYMENT - DEC 2025,28000,,788,RENT,HRA_RENT
03-Feb-2026,NEFT - RENT PAYMENT - FEB 2026,28000,,-27212,RENT,HRA_RENT
03-Jul-2025,SIP DEBIT - AXIS ELSS FUND - JUL-2025,4166,,-31378,INVESTMENT,80C_ELSS
03-May-2025,NEFT - RENT PAYMENT - MAY 2025,28000,,-59378,RENT,HRA_RENT
03-Oct-2025,NEFT - RENT PAYMENT - OCT 2025,28000,,-87378,RENT,HRA_RENT
03-Oct-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,-87578,EXPENSE,
03-Sep-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,1274,,-88852,EXPENSE,
04-Apr-2025,SIP DEBIT - AXIS ELSS FUND - APR-2025,4166,,-93018,INVESTMENT,80C_ELSS
04-Jul-2025,MOBILE RECHARGE - AIRTEL,483,,-93501,EXPENSE,
04-Jun-2025,NEFT - RENT PAYMENT - JUN 2025,28000,,-121501,RENT,HRA_RENT
04-Mar-2026,NEFT - RENT PAYMENT - MAR 2026,28000,,-149501,RENT,HRA_RENT
05-Feb-2026,SIP DEBIT - AXIS ELSS FUND - FEB-2026,4166,,-153667,INVESTMENT,80C_ELSS
05-Jan-2026,NEFT - RENT PAYMENT - JAN 2026,28000,,-181667,RENT,HRA_RENT
05-Jan-2026,FUEL - HPCL PETROL PUMP,1467,,-183134,EXPENSE,
05-Jun-2025,FUEL - HPCL PETROL PUMP,1399,,-184533,EXPENSE,
05-Mar-2026,SIP DEBIT - AXIS ELSS FUND - MAR-2026,4174,,-188707,INVESTMENT,80C_ELSS
05-Oct-2025,SIP DEBIT - AXIS ELSS FUND - OCT-2025,4166,,-192873,INVESTMENT,80C_ELSS
05-Oct-2025,ELECTRICITY BILL PAYMENT - MSEB,1383,,-194256,EXPENSE,
05-Sep-2025,NEFT - RENT PAYMENT - SEP 2025,28000,,-222256,RENT,HRA_RENT
07-Apr-2025,HEALTH INSURANCE PREMIUM - STAR HEALTH - SELF/FAMILY,20000,,-242256,INSURANCE,80D_SELF
