ACCOUNT STATEMENT
Bank Name:,State Bank of India
Account Holder:,Vikram Reddy
PAN:,EFGVR7890E
Account Number:,XXXXX56789
IFSC Code:,SBIN000545
Branch:,Chennai
Statement Period:,01-Apr-2025 to 31-Mar-2026

Date,Description,Debit (Rs.),Credit (Rs.),Balance (Rs.),Category,Tag
01-Apr-2025,NEFT - RENT PAYMENT - APR 2025,32000,,26993,RENT,HRA_RENT
01-Apr-2025,ATM CASH WITHDRAWAL,4118,,22875,EXPENSE,
01-Aug-2025,NEFT - RENT PAYMENT - AUG 2025,32000,,-9125,RENT,HRA_RENT
01-Feb-2026,NEFT - RENT PAYMENT - FEB 2026,32000,,-41125,RENT,HRA_RENT
01-May-2025,NEFT - RENT PAYMENT - MAY 2025,32000,,-73125,RENT,HRA_RENT
01-Nov-2025,SIP DEBIT - AXIS ELSS FUND - NOV-2025,3333,,-76458,INVESTMENT,80C_ELSS
02-Apr-2025,HEALTH INSURANCE PREMIUM - STAR HEALTH - SELF/FAMILY,22000,,-98458,INSURANCE,80D_SELF
02-Dec-2025,NEFT - RENT PAYMENT - DEC 2025,32000,,-130458,RENT,HRA_RENT
02-Jul-2025,NEFT - RENT PAYMENT - JUL 2025,32000,,-162458,RENT,HRA_RENT
02-Jun-2025,NEFT - RENT PAYMENT - JUN 2025,32000,,-194458,RENT,HRA_RENT
02-Jun-2025,SIP DEBIT - AXIS ELSS FUND - JUN-2025,3333,,-197791,INVESTMENT,80C_ELSS
02-Nov-2025,NEFT - RENT PAYMENT - NOV 2025,32000,,-229791,RENT,HRA_RENT
02-Oct-2025,NEFT - RENT PAYMENT - OCT 2025,32000,,-261791,RENT,HRA_RENT
02-Sep-2025,SIP DEBIT - AXIS ELSS FUND - SEP-2025,3333,,-265124,INVESTMENT,80C_ELSS
03-Jul-2025,SIP DEBIT - AXIS ELSS FUND - JUL-2025,3333,,-268457,INVESTMENT,80C_ELSS
04-Jan-2026,NEFT - RENT PAYMENT - JAN 2026,32000,,-300457,RENT,HRA_RENT
04-Oct-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,-300657,EXPENSE,
05-Aug-2025,SIP DEBIT - AXIS ELSS FUND - AUG-2025,3333,,-303990,INVESTMENT,80C_ELSS
05-Dec-2025,SIP DEBIT - AXIS ELSS FUND - DEC-2025,3333,,-307323,INVESTMENT,80C_ELSS
