ACCOUNT STATEMENT
Bank Name:,State Bank of India
Account Holder:,Rohan Gupta
PAN:,GHIRG6789G
Account Number:,XXXXX76789
IFSC Code:,SBIN000745
Branch:,Mumbai
Statement Period:,01-Apr-2025 to 31-Mar-2026

Date,Description,Debit (Rs.),Credit (Rs.),Balance (Rs.),Category,Tag
01-May-2025,HEALTH INSURANCE PREMIUM - STAR HEALTH - PARENTS,50000,,58529,INSURANCE,80D_PARENTS
01-Sep-2025,SIP DEBIT - AXIS ELSS FUND - SEP-2025,3333,,55196,INVESTMENT,80C_ELSS
02-Dec-2025,ELECTRICITY BILL PAYMENT - MSEB,3726,,51470,EXPENSE,
02-Feb-2026,NEFT - RENT PAYMENT - FEB 2026,50000,,1470,RENT,HRA_RENT
02-Feb-2026,SIP DEBIT - AXIS ELSS FUND - FEB-2026,3333,,-1863,INVESTMENT,80C_ELSS
02-Jan-2026,NEFT - RENT PAYMENT - JAN 2026,50000,,-51863,RENT,HRA_RENT
02-Jun-2025,MOBILE RECHARGE - AIRTEL,1001,,-52864,EXPENSE,
02-Jun-2025,GROCERY - BIGBASKET / DMART,7601,,-60465,EXPENSE,
02-May-2025,FUEL - HPCL PETROL PUMP,3900,,-64365,EXPENSE,
02-Oct-2025,FUEL - HPCL PETROL PUMP,3634,,-67999,EXPENSE,
03-Apr-2025,FUEL - HPCL PETROL PUMP,2911,,-70910,EXPENSE,
03-Aug-2025,FUEL - HPCL PETROL PUMP,3222,,-74132,EXPENSE,
03-Dec-2025,NEFT - RENT PAYMENT - DEC 2025,50000,,-124132,RENT,HRA_RENT
03-Jul-2025,NEFT - RENT PAYMENT - JUL 2025,50000,,-174132,RENT,HRA_RENT
03-Jul-2025,SIP DEBIT - AXIS ELSS FUND - JUL-2025,3333,,-177465,INVESTMENT,80C_ELSS
03-Jun-2025,NEFT - RENT PAYMENT - JUN 2025,50000,,-227465,RENT,HRA_RENT
03-Oct-2025,SIP DEBIT - AXIS ELSS FUND - OCT-2025,3333,,-230798,INVESTMENT,80C_ELSS
04-Mar-2026,ELECTRICITY BILL PAYMENT - MSEB,4042,,-234840,EXPENSE,
04-May-2025,NEFT - RENT PAYMENT - MAY 2025,50000,,-284840,RENT,HRA_RENT
04-Nov-2025,NEFT - RENT PAYMENT - NOV 2025,50000,,-334840,RENT,HRA_RENT
04-Oct-2025,NEFT - RENT PAYMENT - OCT 2025,50000,,-384840,RENT,HRA_RENT
05-Apr-2025,NEFT - RENT PAYMENT - APR 2025,50000,,-434840,RENT,HRA_RENT
05-Aug-2025,NEFT - RENT PAYMENT - AUG 2025,50000,,-484840,RENT,HRA_RENT
05-Feb-2026,FUEL - HPCL PETROL PUMP,4089,,-488929,EXPENSE,
05-Jul-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,3985,,-492914,EXPENSE,
