ACCOUNT STATEMENT
Bank Name:,State Bank of India
Account Holder:,Kavya Menon
PAN:,HIJKM4567H
Account Number:,XXXXX86789
IFSC Code:,SBIN000845
Branch:,Pune
Statement Period:,01-Apr-2025 to 31-Mar-2026

Date,Description,Debit (Rs.),Credit (Rs.),Balance (Rs.),Category,Tag
01-Nov-2025,GROCERY - BIGBASKET / DMART,3133,,135319,EXPENSE,
02-Aug-2025,MOBILE RECHARGE - AIRTEL,370,,134949,EXPENSE,
02-Jan-2026,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,134749,EXPENSE,
02-Nov-2025,AMAZON SHOPPING,1011,,133738,EXPENSE,
03-Apr-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,133538,EXPENSE,
03-Feb-2026,AMAZON SHOPPING,860,,132678,EXPENSE,
04-Dec-2025,GROCERY - BIGBASKET / DMART,3019,,129659,EXPENSE,
05-Feb-2026,FUEL - HPCL PETROL PUMP,991,,128668,EXPENSE,
05-May-2025,MOBILE RECHARGE - AIRTEL,358,,128310,EXPENSE,
06-Oct-2025,ELECTRICITY BILL PAYMENT - MSEB,937,,127373,EXPENSE,
07-Aug-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,818,,126555,EXPENSE,
08-May-2025,ELECTRICITY BILL PAYMENT - MSEB,837,,125718,EXPENSE,
08-Nov-2025,ELECTRICITY BILL PAYMENT - MSEB,1342,,124376,EXPENSE,
09-Feb-2026,MOBILE RECHARGE - AIRTEL,234,,124142,EXPENSE,
09-Jul-2025,AMAZON SHOPPING,840,,123302,EXPENSE,
09-Jun-2025,FUEL - HPCL PETROL PUMP,1454,,121848,EXPENSE,
12-Dec-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,121648,EXPENSE,
12-Jul-2025,GROCERY - BIGBASKET / DMART,3716,,117932,EXPENSE,
12-Jun-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,774,,117158,EXPENSE,
12-May-2025,GROCERY - BIGBASKET / DMART,2832,,114326,EXPENSE,
14-Jun-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,114126,EXPENSE,
15-Jun-2025,MOBILE RECHARGE - AIRTEL,257,,113869,EXPENSE,
16-Dec-2025,ATM CASH WITHDRAWAL,2618,,111251,EXPENSE,
16-May-2025,FUEL - HPCL PETROL PUMP,777,,110474,EXPENSE,
18-Apr-2025,AMAZON SHOPPING,2076,,108398,EXPENSE,
18-Oct-2025,GROCERY - BIGBASKET / DMART,3731,,104667,EXPENSE,
19-Sep-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,1165,,103502,EXPENSE,
20-Apr-2025,GROCERY - BIGBASKET / DMART,2742,,100760,EXPENSE,
20-Aug-2025,ATM CASH WITHDRAWAL,2462,,98298,EXPENSE,
20-Mar-2026,FUEL - HPCL PETROL PUMP,1090,,97208,EXPENSE,
21-Jan-2026,MOBILE RECHARGE - AIRTEL,270,,96938,EXPENSE,
22-Jan-2026,ATM CASH WITHDRAWAL,2102,,94836,EXPENSE,
24-Mar-2026,ELECTRICITY BILL PAYMENT - MSEB,1326,,93510,EXPENSE,
25-Sep-2025,MOBILE RECHARGE - AIRTEL,235,,93275,EXPENSE,
25-Sep-2025,ATM CASH WITHDRAWAL,1849,,91426,EXPENSE,
26-Mar-2026,MOBILE RECHARGE - AIRTEL,289,,91137,EXPENSE,
27-Jun-2025,ATM CASH WITHDRAWAL,2482,,88655,EXPENSE,
28-Apr-2025,SALARY CREDIT - ACCENTURE SOLUTIONS - APR 2025,,75000,163655,SALARY,
28-Aug-2025,SALARY CREDIT - ACCENTURE SOLUTIONS - AUG 2025,,75000,238655,SALARY,
28-Dec-2025,SALARY CREDIT - ACCENTURE SOLUTIONS - DEC 2025,,75000,313655,SALARY,
28-Feb-2026,SALARY CREDIT - ACCENTURE SOLUTIONS - FEB 2026,,75000,388655,SALARY,
28-Jan-2026,SALARY CREDIT - ACCENTURE SOLUTIONS - JAN 2026,,75000,463655,SALARY,
28-Jan-2026,GROCERY - BIGBASKET / DMART,3747,,459908,EXPENSE,
28-Jul-2025,SALARY CREDIT - ACCENTURE SOLUTIONS - JUL 2025,,75000,534908,SALARY,
28-Jun-2025,SALARY CREDIT - ACCENTURE SOLUTIONS - JUN 2025,,75000,609908,SALARY,
28-Mar-2026,SALARY CREDIT - ACCENTURE SOLUTIONS - MAR 2026,,75000,684908,SALARY,
28-Mar-2026,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,684708,EXPENSE,
28-May-2025,SALARY CREDIT - ACCENTURE SOLUTIONS - MAY 2025,,75000,759708,SALARY,
28-Nov-2025,SALARY CREDIT - ACCENTURE SOLUTIONS - NOV 2025,,75000,834708,SALARY,
28-Oct-2025,SALARY CREDIT - ACCENTURE SOLUTIONS - OCT 2025,,75000,909708,SALARY,
28-Oct-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,832,,908876,EXPENSE,
28-Sep-2025,SALARY CREDIT - ACCENTURE SOLUTIONS - SEP 2025,,75000,983876,SALARY,
28-Sep-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,983676,EXPENSE,
29-Jul-2025,FUEL - HPCL PETROL PUMP,1025,,982651,EXPENSE,
29-Mar-2026,AMAZON SHOPPING,1732,,980919,EXPENSE,
31-May-2025,AMAZON SHOPPING,959,,979960,EXPENSE,
