ACCOUNT STATEMENT
Bank Name:,State Bank of India
Account Holder:,Arjun Kapoor
PAN:,IJLAK8901I
Account Number:,XXXXX96789
IFSC Code:,SBIN000945
Branch:,Mumbai
Statement Period:,01-Apr-2025 to 31-Mar-2026

Date,Description,Debit (Rs.),Credit (Rs.),Balance (Rs.),Category,Tag
01-Dec-2025,NEFT - RENT PAYMENT - DEC 2025,80000,,-1817,RENT,HRA_RENT
01-Jun-2025,AMAZON SHOPPING,10341,,-12158,EXPENSE,
01-Oct-2025,SIP DEBIT - AXIS ELSS FUND - OCT-2025,3333,,-15491,INVESTMENT,80C_ELSS
02-Apr-2025,SIP DEBIT - AXIS ELSS FUND - APR-2025,3333,,-18824,INVESTMENT,80C_ELSS
02-Jun-2025,NEFT - RENT PAYMENT - JUN 2025,80000,,-98824,RENT,HRA_RENT
02-Jun-2025,SIP DEBIT - AXIS ELSS FUND - JUN-2025,3333,,-102157,INVESTMENT,80C_ELSS
02-Mar-2026,SIP DEBIT - AXIS ELSS FUND - MAR-2026,3337,,-105494,INVESTMENT,80C_ELSS
02-Nov-2025,FUEL - HPCL PETROL PUMP,7757,,-113251,EXPENSE,
03-Aug-2025,NEFT - RENT PAYMENT - AUG 2025,80000,,-193251,RENT,HRA_RENT
03-Aug-2025,SIP DEBIT - AXIS ELSS FUND - AUG-2025,3333,,-196584,INVESTMENT,80C_ELSS
03-Jan-2026,NEFT - RENT PAYMENT - JAN 2026,80000,,-276584,RENT,HRA_RENT
03-Jan-2026,UPI - ZOMATO / SWIGGY FOOD ORDER,7412,,-283996,EXPENSE,
03-Mar-2026,NEFT - RENT PAYMENT - MAR 2026,80000,,-363996,RENT,HRA_RENT
04-Apr-2025,NEFT - RENT PAYMENT - APR 2025,80000,,-443996,RENT,HRA_RENT
04-Aug-2025,ATM CASH WITHDRAWAL,14624,,-458620,EXPENSE,
04-Feb-2026,NEFT - RENT PAYMENT - FEB 2026,80000,,-538620,RENT,HRA_RENT
04-Jul-2025,NEFT - RENT PAYMENT - JUL 2025,80000,,-618620,RENT,HRA_RENT
04-May-2025,NEFT - RENT PAYMENT - MAY 2025,80000,,-698620,RENT,HRA_RENT
04-Nov-2025,NEFT - RENT PAYMENT - NOV 2025,80000,,-778620,RENT,HRA_RENT
04-Oct-2025,NEFT - RENT PAYMENT - OCT 2025,80000,,-858620,RENT,HRA_RENT
04-Oct-2025,MOBILE RECHARGE - AIRTEL,1491,,-860111,EXPENSE,
04-Sep-2025,NEFT - RENT PAYMENT - SEP 2025,80000,,-940111,RENT,HRA_RENT
05-Apr-2025,ELECTRICITY BILL PAYMENT - MSEB,6280,,-946391,EXPENSE,
05-Feb-2026,OTT SUBSCRIPTION - NETFLIX/PRIME,685,,-947076,EXPENSE,
05-Feb-2026,ATM CASH WITHDRAWAL,10302,,-957378,EXPENSE,
05-Jun-2025,ELECTRICITY BILL PAYMENT - MSEB,5836,,-963214,EXPENSE,
05-Oct-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,5961,,-969175,EXPENSE,
06-Feb-2026,SIP DEBIT - AXIS ELSS FUND - FEB-2026,3333,,-972508,INVESTMENT,80C_ELSS
06-Feb-2026,AMAZON SHOPPING,6299,,-978807,EXPENSE,
06-Jul-2025,SIP DEBIT - AXIS ELSS FUND - JUL-2025,3333,,-982140,INVESTMENT,80C_ELSS
06-Jul-2025,MOBILE RECHARGE - AIRTEL,1628,,-983768,EXPENSE,
06-May-2025,HEALTH INSURANCE PREMIUM - STAR HEALTH - SELF/FAMILY,25000,,-1008768,INSURANCE,80D_SELF
07-Apr-2025,PPF DEPOSIT - SBI PPF ACCOUNT,25000,,-1033768,INVESTMENT,80C_PPF
07-Aug-2025,FUEL - HPCL PETROL PUMP,5892,,-1039660,EXPENSE,
07-Jan-2026,PPF DEPOSIT - SBI PPF ACCOUNT,25000,,-1064660,INVESTMENT,80C_PPF
07-May-2025,SIP DEBIT - AXIS ELSS FUND - MAY-2025,3333,,-1067993,INVESTMENT,80C_ELSS
07-Sep-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,439,,-1068432,EXPENSE,
08-Apr-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,690,,-1069122,EXPENSE,
08-Sep-2025,GROCERY - BIGBASKET / DMART,15070,,-1084192,EXPENSE,
09-Aug-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,6974,,-1091166,EXPENSE,
09-Dec-2025,SIP DEBIT - AXIS ELSS FUND - DEC-2025,3333,,-1094499,INVESTMENT,80C_ELSS
09-Jan-2026,SIP DEBIT - AXIS ELSS FUND - JAN-2026,3333,,-1097832,INVESTMENT,80C_ELSS
09-Sep-2025,SIP DEBIT - AXIS ELSS FUND - SEP-2025,3333,,-1101165,INVESTMENT,80C_ELSS
10-Nov-2025,SIP DEBIT - AXIS ELSS FUND - NOV-2025,3333,,-1104498,INVESTMENT,80C_ELSS
11-Dec-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,425,,-1104923,EXPENSE,
11-Jan-2026,ATM CASH WITHDRAWAL,11162,,-1116085,EXPENSE,
12-Apr-2025,ATM CASH WITHDRAWAL,15393,,-1131478,EXPENSE,
12-Jun-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,800,,-1132278,EXPENSE,
13-Dec-2025,ATM CASH WITHDRAWAL,10745,,-1143023,EXPENSE,
13-Jan-2026,FUEL - HPCL PETROL PUMP,5981,,-1149004,EXPENSE,
13-Jan-2026,GROCERY - BIGBASKET / DMART,16866,,-1165870,EXPENSE,
13-Jun-2025,HEALTH INSURANCE PREMIUM - STAR HEALTH - PARENTS,50000,,-1215870,INSURANCE,80D_PARENTS
14-Aug-2025,GROCERY - BIGBASKET / DMART,16192,,-1232062,EXPENSE,
15-Aug-2025,AMAZON SHOPPING,8213,,-1240275,EXPENSE,
15-Nov-2025,GROCERY - BIGBASKET / DMART,16135,,-1256410,EXPENSE,
16-May-2025,LIC PREMIUM PAYMENT - POLICY AUTO DEBIT,60000,,-1316410,INVESTMENT,80C_LIC
18-May-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,697,,-1317107,EXPENSE,
19-Apr-2025,GROCERY - BIGBASKET / DMART,15430,,-1332537,EXPENSE,
19-Mar-2026,FUEL - HPCL PETROL PUMP,8017,,-1340554,EXPENSE,
20-Mar-2026,MOBILE RECHARGE - AIRTEL,1785,,-1342339,EXPENSE,
20-May-2025,ELECTRICITY BILL PAYMENT - MSEB,7576,,-1349915,EXPENSE,
20-Sep-2025,ELECTRICITY BILL PAYMENT - MSEB,5813,,-1355728,EXPENSE,
21-Mar-2026,OTT SUBSCRIPTION - NETFLIX/PRIME,551,,-1356279,EXPENSE,
22-Jun-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,4763,,-1361042,EXPENSE,
22-Mar-2026,AMAZON SHOPPING,8995,,-1370037,EXPENSE,
22-Sep-2025,ATM CASH WITHDRAWAL,12388,,-1382425,EXPENSE,
23-Oct-2025,ELECTRICITY BILL PAYMENT - MSEB,5750,,-1388175,EXPENSE,
24-Jan-2026,MOBILE RECHARGE - AIRTEL,1975,,-1390150,EXPENSE,
24-Jul-2025,AMAZON SHOPPING,7250,,-1397400,EXPENSE,
24-Oct-2025,ATM CASH WITHDRAWAL,8397,,-1405797,EXPENSE,
25-Feb-2026,ELECTRICITY BILL PAYMENT - MSEB,6676,,-1412473,EXPENSE,
25-Mar-2026,UPI - ZOMATO / SWIGGY FOOD ORDER,7310,,-1419783,EXPENSE,
25-May-2025,GROCERY - BIGBASKET / DMART,17174,,-1436957,EXPENSE,
27-Dec-2025,FUEL - HPCL PETROL PUMP,6742,,-1443699,EXPENSE,
27-Feb-2026,UPI - ZOMATO / SWIGGY FOOD ORDER,5629,,-1449328,EXPENSE,
28-Apr-2025,SALARY CREDIT - JP MORGAN CHASE - APR 2025,,416666,-1032662,SALARY,
28-Aug-2025,SALARY CREDIT - JP MORGAN CHASE - AUG 2025,,416666,-615996,SALARY,
28-Dec-2025,SALARY CREDIT - JP MORGAN CHASE - DEC 2025,,416666,-199330,SALARY,
28-Feb-2026,SALARY CREDIT - JP MORGAN CHASE - FEB 2026,,416666,217336,SALARY,
